expected_label,predicted_label,count,is_correct
Doctoral Degree,Doctor of Philosophy,279,False
Bachelor of Technology,Bachelor of Engineering,145,False
Foundation Degree,,137,False
Bachelor of Medicine Bachelor of Surgery,Bachelor of Medicine and Bachelor of Surgery,126,False
12th Standard,,114,False
Bachelor Degree,Bachelor of Science,100,False
Bachelor of Engineering,,95,False
Advanced Diploma,Post Graduate Diploma,94,False
Doctoral Degree,,86,False
Licence Professionnelle,,85,False
Bachelor of Arts,,82,False
Licenciatura,,80,False
Master Degree,Master of Science,80,False
Laurea Triennale,,78,False
Master of Technology,Master of Engineering,76,False
Doctorat,Doctor of Philosophy,75,False
Doutorado,Doctor of Philosophy,75,False
Master of Engineering,,74,False
Doctor of Philosophy,,72,False
Doctorado,Doctor of Philosophy,72,False
Dottorato di Ricerca,Doctor of Philosophy,72,False
Advanced Level,,70,False
Bachelor Degree,,70,False
HBO Bachelor,Bachelor of Science,66,False
Bachelor of Commerce,,64,False
10th Standard,,63,False
Bachelor Honours Degree,Bachelor of Science,63,False
Laurea Magistrale a Ciclo Unico,,61,False
Master of Arts,,61,False
Especializacao,,60,False
Doctor of Education,,59,False
Laurea Magistrale,,58,False
Master of Science,,57,False
Bachelor of Technology,Master of Technology,55,False
Juris Doctor,,55,False
Short Cycle Qualification,,54,False
WO Bachelor,Bachelor of Science,54,False
Bachelor of Medicine Bachelor of Surgery,,53,False
Bachelor of Science,,53,False
Titulo de Grado,,53,False
Associate Degree,,52,False
HBO Bachelor,,52,False
Master Degree,,52,False
Master Universitario,Master of Science,52,False
10th Standard,Secondary (Class X),49,False
Bachelor's Degree,Bachelor of Science,49,False
Higher Certificate,,49,False
Master of Technology,Master of Science,49,False
WO Bachelor,,49,False
Diplome d'Ingenieur,,48,False
National Certificate of Educational Achievement Level 3,,48,False
HBO Master,Master of Science,47,False
Associate of Applied Science,,45,False
WO Master,Master of Science,45,False
Bachelor of Science,Bachelor of Business Administration,44,False
Master of Science,Master of Business Administration,44,False
Post Graduate Diploma,,42,False
12th Standard,Senior Secondary (Class XII),41,False
Brevet de Technicien Superieur,,41,False
Ensino Medio,,40,False
GCE Ordinary Level,,40,False
General Certificate of Secondary Education,,40,False
Honours Degree,,40,False
Mestrado,Master of Science,40,False
Polytechnic Diploma,Post Graduate Diploma,40,False
Senior Secondary Certificate of Education,Certificate Program,40,False
Bachelor of Technology,,39,False
Post Graduate Diploma,Master of Science,39,False
Advanced Diploma,,38,False
GCE Advanced Level,,38,False
Ontario Secondary School Diploma,Post Graduate Diploma,38,False
Staatsexamen,,38,False
Bachelor of Computer Applications,,37,False
High School Diploma,Post Graduate Diploma,37,False
WO Master,,37,False
Bacharelado,,36,False
Bachelor of Technology,Bachelor of Science,36,False
Bachelor of Fine Arts,Bachelor of Arts,35,False
Dottorato di Ricerca,,35,False
Graduate Diploma,,35,False
Master's Degree,Master of Science,35,False
VWO Diploma,Post Graduate Diploma,35,False
Bachelor of Engineering,Master of Engineering,34,False
College Diploma,Post Graduate Diploma,34,False
Postgraduate Diploma,Post Graduate Diploma,33,False
Tecnologo,,33,False
Zhuanke Diploma,Post Graduate Diploma,33,False
Associate of Arts,,32,False
Bachelor of Engineering,Master of Technology,32,False
Diplom,,32,False
Doctor of Nursing Practice,,32,False
Licence,,32,False
Bachelor of Music,,31,False
Doutorado,,31,False
Baccalaureat,,30,False
Doctor of Medicine,,29,False
Doctorado,,29,False
HBO Master,,29,False
Associate of Science,,28,False
Doctor of Psychology,,28,False
Graduate Certificate,,28,False
Graduate Diploma,Post Graduate Diploma,28,False
Bachelor of Business Administration,,27,False
Certificate III,Certificate Program,27,False
Diploma of Higher Education,,27,False
Master of Social Work,Master of Science,27,False
National Senior Certificate,Certificate Program,27,False
Titulo de Grado,Bachelor of Science,27,False
Bachelor of Social Work,,26,False
Certificate IV,Certificate Program,26,False
Diploma di Maturita,Post Graduate Diploma,26,False
Doctorat,,26,False
Bachelor of Science,Bachelor of Dental Surgery,25,False
Master of Applied Science,Master of Science,25,False
Postgraduate Certificate,Master of Science,25,False
Bachelor of Arts,Bachelor of Science,24,False
Diploma in Engineering,Post Graduate Diploma,24,False
General Educational Development,,24,False
Ontario Secondary School Diploma,,24,False
Bachelor of Social Work,Bachelor of Science,23,False
Magister Artium,,23,False
Master of Engineering,Master of Science,23,False
New Zealand Diploma,Post Graduate Diploma,23,False
Abitur,,22,False
Associate of Science,Master of Science,22,False
Bacharelado,Bachelor of Science,22,False
Bachelor Degree,Bachelor of Arts,22,False
Bachelor Honours Degree,,22,False
Bachelor of Technology,Diploma in Engineering,22,False
Bachillerato,,22,False
Diplome d'Ingenieur,Diploma in Engineering,22,False
Mestrado,,22,False
Senior Secondary Certificate of Education,,22,False
Bachelor of Engineering,Bachelor of Technology,21,False
Doctor of Business Administration,,21,False
Doctor of Dental Surgery,,21,False
Master of Arts,Master of Science,21,False
Bachelor of Engineering,Diploma in Engineering,20,False
Bachelor of Music,Bachelor of Medicine and Bachelor of Surgery,20,False
Certificate of Higher Education,,20,False
Higher National Certificate,,20,False
Higher National Diploma,,20,False
Master,Master of Science,20,False
Master of Business Administration,,20,False
Certificate III,,19,False
Master of Commerce,,19,False
Master of Public Health,,19,False
Bachelor of Business Administration,Bachelor of Engineering,18,False
Bachelor of Fine Arts,Bachelor of Science,18,False
Doctor of Dental Surgery,Bachelor of Dental Surgery,18,False
General Educational Development,Post Graduate Diploma,18,False
Master of Applied Science,,18,False
Master of Engineering,Bachelor of Engineering,18,False
Master of Philosophy,Doctor of Philosophy,18,False
Master of Technology,,18,False
National Senior Certificate,,18,False
Postgraduate Certificate,Post Graduate Diploma,18,False
Bachelor of Laws,Bachelor of Science,17,False
Certificate IV,,17,False
Higher Certificate,Certificate Program,17,False
Master of Philosophy,,17,False
Master of Research,,17,False
12th Standard,Bachelor of Science,16,False
Bachelor's Degree,,16,False
Doctor of Business Administration,Bachelor of Engineering,16,False
Graduate Certificate,Certificate Program,16,False
High School Diploma,,16,False
Magister Artium,Master of Arts,16,False
Master Degree,Master of Arts,16,False
Master of Business Administration,Bachelor of Arts,16,False
Master of Science,Bachelor of Science,16,False
VWO Diploma,,16,False
Bachelor of Arts,Bachelor of Computer Applications,15,False
Bachelor of Music,Bachelor of Science,15,False
Doctor of Pharmacy,,15,False
General Certificate of Secondary Education,Certificate Program,15,False
Master of Business Administration,Bachelor of Engineering,15,False
Master of Research,Master of Science,15,False
Bachelor of Fine Arts,,14,False
Certificate of Higher Education,Certificate Program,14,False
Honours Degree,Bachelor of Science,14,False
Post Graduate Diploma,Post Graduate Diploma in Business Administration,14,False
Bachelor of Laws,,13,False
Diploma of Higher Education,Post Graduate Diploma,13,False
Higher National Certificate,Certificate Program,13,False
Higher National Diploma,Post Graduate Diploma,13,False
Master of Fine Arts,,13,False
Master of Fine Arts,Master of Arts,13,False
Master of Public Administration,,13,False
New Zealand Diploma,,13,False
Bachelor of Architecture,Bachelor of Arts,12,False
Bachelor of Architecture,Bachelor of Science,12,False
Bachelor of Technology,Master of Engineering,12,False
Doctor of Business Administration,Master of Business Administration,12,False
Doctor of Pharmacy,Bachelor of Pharmacy,12,False
Master of Business Administration,Master of Science,12,False
Master of Computer Applications,,12,False
Master of Public Health,Master of Science,12,False
Master of Science,Bachelor of Medicine and Bachelor of Surgery,12,False
Master's Degree,,12,False
National Certificate of Educational Achievement Level 3,Certificate Program,12,False
Postgraduate Diploma,Master of Science,12,False
Zhuanke Diploma,,12,False
Bachelor of Commerce,Bachelor of Medicine and Bachelor of Surgery,11,False
Mestrado,Bachelor of Medicine and Bachelor of Surgery,11,False
Bachelor Degree,Bachelor of Computer Applications,10,False
Bachelor of Architecture,Bachelor of Computer Applications,10,False
Bachelor of Business Administration,Bachelor of Arts,10,False
Bachelor of Computer Applications,Bachelor of Arts,10,False
Bachelor of Laws,Bachelor of Dental Surgery,10,False
Bachelor of Laws,Bachelor of Technology,10,False
Master of Laws,,10,False
Master of Laws,Master of Arts,10,False
Master of Public Administration,Master of Technology,10,False
Master of Social Work,,10,False
Postgraduate Diploma,,10,False
WO Bachelor,Bachelor of Technology,10,False
Ensino Medio,Master of Engineering,9,False
10th Standard,Bachelor of Engineering,8,False
10th Standard,Bachelor of Science,8,False
Associate of Applied Science,Master of Science,8,False
Associate of Arts,Master of Arts,8,False
Brevet de Technicien Superieur,Bachelor of Business Administration,8,False
College Diploma,Diploma in Engineering,8,False
Doctor of Psychology,Doctor of Philosophy,8,False
HBO Master,Bachelor of Medicine and Bachelor of Surgery,8,False
Master of Arts,Bachelor of Arts,8,False
Master of Commerce,Bachelor of Commerce,8,False
Master of Computer Applications,Bachelor of Arts,8,False
Master of Fine Arts,Master of Science,8,False
Master of Public Administration,Master of Arts,8,False
Master of Public Administration,Master of Science,8,False
Master of Technology,Bachelor of Commerce,8,False
Master of Technology,Bachelor of Technology,8,False
Polytechnic Diploma,Diploma in Engineering,8,False
Post Graduate Diploma,Bachelor of Arts,8,False
Post Graduate Diploma,Bachelor of Medicine and Bachelor of Surgery,8,False
Master of Science,Master of Engineering,7,False
Baccalaureat,Bachelor of Computer Applications,6,False
Bachelor Degree,Bachelor of Engineering,6,False
Bachelor of Architecture,,6,False
Bachelor's Degree,Bachelor of Engineering,6,False
Diploma di Maturita,,6,False
Bachelor Degree,Bachelor of Technology,5,False
Bachelor Honours Degree,Bachelor of Engineering,5,False
Bachelor of Business Administration,Bachelor of Technology,5,False
Bachelor of Fine Arts,Bachelor of Business Administration,5,False
Bachelor of Fine Arts,Bachelor of Computer Applications,5,False
Bachelor of Music,Bachelor of Commerce,5,False
Bachelor of Music,Master of Business Administration,5,False
Bachelor of Science,Bachelor of Engineering,5,False
Bachelor of Science,Bachelor of Medicine and Bachelor of Surgery,5,False
Foundation Degree,Bachelor of Dental Surgery,5,False
HBO Bachelor,Bachelor of Arts,5,False
Master of Business Administration,Master of Engineering,5,False
Master of Laws,Master of Science,5,False
WO Bachelor,Bachelor of Arts,5,False
10th Standard,12th Standard,4,False
Associate of Arts,Bachelor of Computer Applications,4,False
Diploma in Engineering,,4,False
Diploma of Higher Education,Diploma in Engineering,4,False
Doctor of Business Administration,Bachelor of Arts,4,False
Doctor of Business Administration,Bachelor of Business Administration,4,False
Doctor of Business Administration,Bachelor of Computer Applications,4,False
Doctor of Business Administration,Bachelor of Dental Surgery,4,False
Doctor of Medicine,Master of Science,4,False
Doctor of Nursing Practice,Bachelor of Pharmacy,4,False
Doctoral Degree,Bachelor of Medicine and Bachelor of Surgery,4,False
HBO Master,Bachelor of Commerce,4,False
High School Diploma,Bachelor of Dental Surgery,4,False
Higher Certificate,12th Standard,4,False
Honours Degree,Bachelor of Arts,4,False
Honours Degree,Bachelor of Engineering,4,False
Laurea Magistrale a Ciclo Unico,Ciclo Unico,4,False
Master,Master of Engineering,4,False
Master Degree,Master of Computer Applications,4,False
Master Universitario,Master of Commerce,4,False
Master of Applied Science,Master of Computer Applications,4,False
Master of Applied Science,S C,4,False
Master of Business Administration,Bachelor of Medicine and Bachelor of Surgery,4,False
Master of Business Administration,Master of Technology,4,False
