raw_input,expected_degree,predicted_degree,expected_field,predicted_field,status,layer_used,confidence,fuzzy_score,error_category
I completed my BTECH in CSE from IIT Delhi in 2016.,Bachelor of Technology,,Computer Science and Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Riya holds a B Tech (Hons) degree in cse.,Bachelor of Technology,,Computer Science and Engineering,Computer Science and Engineering,review_needed,L3_stub,0.35,35,wrong_degree
"Education: b.tech/be, C.S.E, Anna University, batch of 2019.",Bachelor of Technology,Bachelor of Engineering,Computer Science and Engineering,Computer Science and Engineering,review_needed,L2,0.7,70.0,wrong_degree
Graduate of Pune University; qualification B  Tech (C.S.E.).,Bachelor of Technology,,Computer Science and Engineering,Computer Science and Engineering,review_needed,L3_stub,0.35,35,wrong_degree
Currently pursuing B Tech (Hons) with specialization in Information Technology at University of Mumbai.,Bachelor of Technology,,Information Technology,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Kabir holds a b.tech/be degree in I.T.,Bachelor of Technology,,Information Technology,Information Technology,review_needed,L3_stub,0.35,35,wrong_degree
"Education: B  Tech, I.T., Pune University, batch of 2020.",Bachelor of Technology,,Information Technology,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of Amity University; qualification BTech/BE (infotech).,Bachelor of Technology,,Information Technology,Information Technology,review_needed,L3_stub,0.35,35,wrong_degree
I completed my B Tech (Hons) in ECE from University of Mumbai in 2018.,Bachelor of Technology,,Electronics and Communication Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Currently pursuing b.tech/be with specialization in E.C.E at Anna University.,Bachelor of Technology,,Electronics and Communication Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Neha holds a B  Tech degree in electronicsandcommunication.,Bachelor of Technology,B  Tech degree,Electronics and Communication Engineering,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
"Education: BTech/BE, Electronics & Communication, Amity University, batch of 2021.",Bachelor of Technology,Bachelor of Engineering,Electronics and Communication Engineering,Electronics and Communication Engineering,review_needed,L2,0.7,70.0,wrong_degree
Graduate of IIM Ahmedabad; qualification 4-Year BTech (Electronics and Communication).,Bachelor of Technology,,Electronics and Communication Engineering,Electronics and Communication Engineering,review_needed,L3_stub,0.35,35,wrong_degree
I completed my b.tech/be in E.E from Anna University in 2019.,Bachelor of Technology,,Electrical Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Currently pursuing B  Tech with specialization in electrical at Pune University.,Bachelor of Technology,,Electrical Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Arjun holds a BTech/BE degree in Electrical.,Bachelor of Technology,,Electrical Engineering,Electrical Engineering,review_needed,L3_stub,0.35,35,wrong_degree
"Education: 4-Year BTech, electengg, IIM Ahmedabad, batch of 2022.",Bachelor of Technology,Bachelor of Technology,Electrical Engineering,,fuzzy_matched,L2,0.89,89.0,wrong_field
Graduate of Jadavpur University; qualification 4-YEAR B.TECH (Elect Engg).,Bachelor of Technology,,Electrical Engineering,Electrical Engineering,review_needed,L3_stub,0.35,35,wrong_degree
4-Year B.Tech (Hons) - electricalandelectronics - VIT Vellore - 2024,Bachelor of Technology,Bachelor of Technology,Electrical Engineering,,resolved,L1,1.0,100,wrong_field
I completed my B  Tech in Mechanical from Pune University in 2020.,Bachelor of Technology,,Mechanical Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Currently pursuing BTech/BE with specialization in mechanical at Amity University.,Bachelor of Technology,,Mechanical Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Isha holds a 4-Year BTech degree in Mech.,Bachelor of Technology,Bachelor of Engineering,Mechanical Engineering,Mechanical Engineering,review_needed,L2,0.7163,71.6,wrong_degree
Graduate of VIT Vellore; qualification 4-Year B.Tech (Hons) (mechengg).,Bachelor of Technology,,Mechanical Engineering,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
I completed my BTech/BE in Civil from Amity University in 2021.,Bachelor of Technology,,Civil Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Currently pursuing 4-Year BTech with specialization in Civil Engg at IIM Ahmedabad.,Bachelor of Technology,,Civil Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Rohan holds a 4-YEAR B.TECH degree in civilengg.,Bachelor of Technology,YEAR B.TECH,Civil Engineering,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
"Education: 4-Year B.Tech (Hons), Civil Engg., VIT Vellore, batch of 2024.",Bachelor of Technology,,Civil Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of Manipal University; qualification B.TECH/BE (civilengineering).,Bachelor of Technology,,Civil Engineering,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
I completed my 4-Year BTech in Chemical from IIM Ahmedabad in 2022.,Bachelor of Technology,Bachelor of Engineering,Chemical Engineering,,review_needed,L2,0.7017,70.2,wrong_degree_and_field
Currently pursuing 4-YEAR B.TECH with specialization in che at Jadavpur University.,Bachelor of Technology,,Chemical Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Aarav holds a 4-Year B.Tech (Hons) degree in ChE.,Bachelor of Technology,,Chemical Engineering,Chemical Engineering,review_needed,L3_stub,0.35,35,wrong_degree
"Education: B.TECH/BE, chemicalengineering, Manipal University, batch of 2025.",Bachelor of Technology,Bachelor of Engineering,Chemical Engineering,,review_needed,L2,0.7,70.0,wrong_degree_and_field
Graduate of IIT Delhi; qualification b.tech (hons) (chemengg).,Bachelor of Technology,,Chemical Engineering,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
b.tech. - Chemical Engineering - Delhi University - 2016,Bachelor of Technology,Bachelor of Technology,Chemical Engineering,,resolved,L1,1.0,100,wrong_field
I completed my 4-YEAR B.TECH in Aero Engg from Jadavpur University in 2023.,Bachelor of Technology,Bachelor of Engineering,Aerospace Engineering,,review_needed,L2,0.7017,70.2,wrong_degree_and_field
