expected_label,predicted_label,count,is_correct
Bachelor of Technology,Bachelor of Engineering,145,False
Foundation Degree,,137,False
Bachelor of Medicine Bachelor of Surgery,Bachelor of Medicine and Bachelor of Surgery,126,False
12th Standard,,114,False
Master of Technology,Master of Engineering,76,False
Bachelor of Engineering,,73,False
Advanced Level,,70,False
10th Standard,,63,False
Doctor of Philosophy,,58,False
Bachelor of Technology,Master of Technology,55,False
Bachelor of Medicine Bachelor of Surgery,,53,False
10th Standard,Secondary (Class X),49,False
Master of Engineering,,49,False
Master of Technology,Master of Science,49,False
Bachelor of Arts,,46,False
Bachelor of Science,Bachelor of Business Administration,44,False
Master of Science,Master of Business Administration,44,False
Post Graduate Diploma,,42,False
12th Standard,Senior Secondary (Class XII),41,False
General Certificate of Secondary Education,,40,False
Bachelor of Technology,,39,False
Post Graduate Diploma,Master of Science,39,False
Bachelor of Computer Applications,,37,False
Bachelor of Technology,Bachelor of Science,36,False
Bachelor of Engineering,Master of Engineering,34,False
Doctor of Education,,34,False
Master of Arts,,34,False
Postgraduate Diploma,Post Graduate Diploma,33,False
Bachelor of Engineering,Master of Technology,32,False
Bachelor of Science,,31,False
Master of Science,,29,False
Diploma of Higher Education,,27,False
Postgraduate Certificate,Master of Science,25,False
Diploma in Engineering,Post Graduate Diploma,24,False
Bachelor of Commerce,,23,False
Bachelor of Technology,Diploma in Engineering,22,False
Master of Engineering,Master of Science,22,False
Bachelor of Business Administration,,21,False
Bachelor of Engineering,Diploma in Engineering,20,False
Certificate of Higher Education,,20,False
Higher National Certificate,,20,False
Higher National Diploma,,20,False
Master of Commerce,,19,False
Master of Engineering,Bachelor of Engineering,18,False
Master of Philosophy,Doctor of Philosophy,18,False
Master of Technology,,18,False
Postgraduate Certificate,Post Graduate Diploma,18,False
Bachelor of Laws,Bachelor of Science,17,False
Master of Philosophy,,17,False
Master of Research,,17,False
12th Standard,Bachelor of Science,16,False
Master of Business Administration,,16,False
Master of Business Administration,Bachelor of Arts,16,False
Master of Science,Bachelor of Science,16,False
Bachelor of Arts,Bachelor of Science,15,False
General Certificate of Secondary Education,Certificate Program,15,False
Master of Research,Master of Science,15,False
Bachelor of Engineering,Bachelor of Technology,14,False
Bachelor of Science,Bachelor of Dental Surgery,14,False
Certificate of Higher Education,Certificate Program,14,False
Post Graduate Diploma,Post Graduate Diploma in Business Administration,14,False
Bachelor of Laws,,13,False
Diploma of Higher Education,Post Graduate Diploma,13,False
Higher National Certificate,Certificate Program,13,False
Higher National Diploma,Post Graduate Diploma,13,False
Bachelor of Technology,Master of Engineering,12,False
Master of Business Administration,Bachelor of Engineering,12,False
Master of Business Administration,Master of Science,12,False
Master of Computer Applications,,12,False
Postgraduate Diploma,Master of Science,12,False
Doctor of Business Administration,,11,False
Bachelor of Business Administration,Bachelor of Arts,10,False
Bachelor of Commerce,Bachelor of Medicine and Bachelor of Surgery,10,False
Bachelor of Computer Applications,Bachelor of Arts,10,False
Bachelor of Laws,Bachelor of Dental Surgery,10,False
Bachelor of Laws,Bachelor of Technology,10,False
Doctor of Business Administration,Bachelor of Engineering,10,False
Master of Laws,,10,False
Master of Laws,Master of Arts,10,False
Postgraduate Diploma,,10,False
10th Standard,Bachelor of Engineering,8,False
10th Standard,Bachelor of Science,8,False
Doctor of Business Administration,Master of Business Administration,8,False
Master of Arts,Bachelor of Arts,8,False
Master of Arts,Master of Science,8,False
Master of Commerce,Bachelor of Commerce,8,False
Master of Computer Applications,Bachelor of Arts,8,False
Master of Science,Bachelor of Medicine and Bachelor of Surgery,8,False
Master of Technology,Bachelor of Commerce,8,False
Master of Technology,Bachelor of Technology,8,False
Post Graduate Diploma,Bachelor of Arts,8,False
Post Graduate Diploma,Bachelor of Medicine and Bachelor of Surgery,8,False
Master of Science,Master of Engineering,7,False
Bachelor of Business Administration,Bachelor of Engineering,6,False
Bachelor of Arts,Bachelor of Computer Applications,5,False
Bachelor of Science,Bachelor of Engineering,5,False
Foundation Degree,Bachelor of Dental Surgery,5,False
Master of Business Administration,Master of Engineering,5,False
Master of Laws,Master of Science,5,False
10th Standard,12th Standard,4,False
Diploma in Engineering,,4,False
Diploma of Higher Education,Diploma in Engineering,4,False
Doctor of Business Administration,Bachelor of Arts,4,False
Doctor of Business Administration,Bachelor of Business Administration,4,False
Doctor of Business Administration,Bachelor of Computer Applications,4,False
Master of Computer Applications,Bachelor of Computer Applications,4,False
Master of Philosophy,Master of Science,4,False
Master of Research,Master of Engineering,4,False
Bachelor of Commerce,Bachelor of Computer Applications,3,False
Bachelor of Business Administration,Hons,2,False
Bachelor of Engineering,Bachelor of Science,2,False
Bachelor of Laws,Bachelor of Commerce,2,False
Master of Commerce,Master of Computer Applications,2,False
Master of Commerce,Master of Science,2,False
Master of Technology,Bachelor of Computer Applications,2,False
10th Standard,IN S S C,1,False
10th Standard,IN S S C qualification,1,False
10th Standard,IN SSCHONS qualification,1,False
10th Standard,IN X H O N S,1,False
10th Standard,IN X H O N S qualification,1,False
10th Standard,IN X qualification,1,False
10th Standard,IN X.H.O.N.S. qualification,1,False
10th Standard,India MATRICHONS,1,False
10th Standard,India MATRICHONS qualification,1,False
10th Standard,India Matric Hons qualification,1,False
10th Standard,India S S C,1,False
10th Standard,India S S C qualification,1,False
10th Standard,India SSCHONS,1,False
10th Standard,India SSCHONS qualification,1,False
10th Standard,India X,1,False
10th Standard,India X H O N S,1,False
10th Standard,India X H O N S qualification,1,False
10th Standard,India X qualification,1,False
10th Standard,India X.H.O.N.S.,1,False
10th Standard,India X.H.O.N.S. qualification,1,False
10th Standard,India matric qualification,1,False
10th Standard,Indian MATRICHONS,1,False
10th Standard,Indian MATRICHONS qualification,1,False
10th Standard,Indian S S C,1,False
10th Standard,Indian S S C qualification,1,False
10th Standard,Indian SSCHONS,1,False
10th Standard,Indian SSCHONS qualification,1,False
10th Standard,Indian X,1,False
10th Standard,Indian X H O N S,1,False
10th Standard,Indian X H O N S qualification,1,False
10th Standard,Indian X qualification,1,False
10th Standard,Indian X.H.O.N.S.,1,False
10th Standard,Indian X.H.O.N.S. qualification,1,False
10th Standard,Indian matric qualification,1,False
10th Standard,S S C qualification,1,False
10th Standard,SSCHONS qualification,1,False
10th Standard,X H O N S,1,False
10th Standard,X H O N S qualification,1,False
10th Standard,X qualification,1,False
10th Standard,X.H.O.N.S. qualification,1,False
12th Standard,H S C qualification,1,False
12th Standard,HSCHONS qualification,1,False
12th Standard,I S C,1,False
12th Standard,I S C qualification,1,False
12th Standard,IN H S C,1,False
12th Standard,IN H S C qualification,1,False
12th Standard,IN HSCHONS qualification,1,False
12th Standard,IN I S C,1,False
12th Standard,IN I S C qualification,1,False
12th Standard,IN ISC Hons qualification,1,False
12th Standard,IN ISCHONS qualification,1,False
12th Standard,IN PLUSTWO qualification,1,False
12th Standard,IN X I I,1,False
12th Standard,IN X I I qualification,1,False
12th Standard,IN XII Hons qualification,1,False
12th Standard,IN XII qualification,1,False
12th Standard,IN XIIHONS,1,False
12th Standard,IN XIIHONS qualification,1,False
12th Standard,IN isc qualification,1,False
12th Standard,ISC Hons qualification,1,False
12th Standard,ISCHONS qualification,1,False
12th Standard,India H S C,1,False
12th Standard,India H S C qualification,1,False
12th Standard,India HSCHONS,1,False
12th Standard,India HSCHONS qualification,1,False
12th Standard,India I S C,1,False
12th Standard,India I S C qualification,1,False
12th Standard,India ISC Hons,1,False
12th Standard,India ISC Hons qualification,1,False
12th Standard,India ISCHONS,1,False
12th Standard,India ISCHONS qualification,1,False
12th Standard,India PLUSTWO qualification,1,False
12th Standard,India X I I,1,False
12th Standard,India X I I qualification,1,False
12th Standard,India XII Hons qualification,1,False
12th Standard,India XII qualification,1,False
12th Standard,India XIIHONS,1,False
12th Standard,India XIIHONS qualification,1,False
12th Standard,India isc,1,False
12th Standard,India isc qualification,1,False
12th Standard,India plus two qualification,1,False
12th Standard,Indian H S C,1,False
12th Standard,Indian H S C qualification,1,False
12th Standard,Indian HSCHONS,1,False
12th Standard,Indian HSCHONS qualification,1,False
12th Standard,Indian I S C,1,False
12th Standard,Indian I S C qualification,1,False
12th Standard,Indian ISC Hons,1,False
12th Standard,Indian ISC Hons qualification,1,False
12th Standard,Indian ISCHONS,1,False
12th Standard,Indian ISCHONS qualification,1,False
12th Standard,Indian PLUSTWO qualification,1,False
12th Standard,Indian X I I,1,False
12th Standard,Indian X I I qualification,1,False
12th Standard,Indian XII,1,False
12th Standard,Indian XII Hons,1,False
12th Standard,Indian XII Hons qualification,1,False
12th Standard,Indian XII qualification,1,False
12th Standard,Indian XIIHONS,1,False
12th Standard,Indian XIIHONS qualification,1,False
12th Standard,Indian isc,1,False
12th Standard,Indian isc qualification,1,False
12th Standard,Indian plus two qualification,1,False
12th Standard,PLUSTWO qualification,1,False
12th Standard,X I I,1,False
12th Standard,X I I qualification,1,False
12th Standard,XII Hons qualification,1,False
12th Standard,XII qualification,1,False
12th Standard,XIIHONS,1,False
12th Standard,XIIHONS qualification,1,False
12th Standard,isc qualification,1,False
Advanced Level,A Level,1,False
Advanced Level,A Level qualification,1,False
Advanced Level,A Levels,1,False
Advanced Level,A Levels qualification,1,False
Advanced Level,ALEVEL,1,False
Advanced Level,ALEVEL qualification,1,False
Advanced Level,ALEVELS,1,False
Advanced Level,ALEVELS qualification,1,False
Advanced Level,Advanced Level qualification,1,False
Advanced Level,GCE A Level,1,False
Advanced Level,GCE A Level qualification,1,False
Advanced Level,GCEALEVEL,1,False
Advanced Level,GCEALEVEL qualification,1,False
Advanced Level,UK A Level,1,False
Advanced Level,UK A Level qualification,1,False
Advanced Level,UK A Levels,1,False
Advanced Level,UK A Levels qualification,1,False
Advanced Level,UK ALEVEL,1,False
Advanced Level,UK ALEVEL qualification,1,False
Advanced Level,UK ALEVELS,1,False
Advanced Level,UK ALEVELS qualification,1,False
Advanced Level,UK Advanced Level,1,False
Advanced Level,UK Advanced Level qualification,1,False
Advanced Level,UK GCE A Level,1,False
Advanced Level,UK GCE A Level qualification,1,False
Advanced Level,UK GCEALEVEL,1,False
Advanced Level,UK GCEALEVEL qualification,1,False
Advanced Level,United Kingdom A Level,1,False
Advanced Level,United Kingdom A Levels,1,False
Advanced Level,United Kingdom ALEVEL,1,False
Advanced Level,United Kingdom ALEVELS,1,False
Advanced Level,United Kingdom Advanced Level,1,False
Advanced Level,United Kingdom GCE A Level,1,False
Advanced Level,United Kingdom GCEALEVEL,1,False
Bachelor of Arts,BAHONSHONS degree,1,False
Bachelor of Arts,BAHONSHONS qualification,1,False
Bachelor of Arts,BAHONSHONS with Honours,1,False
Bachelor of Arts,BachelorofArts qualification,1,False
Bachelor of Arts,IN B A degree,1,False
Bachelor of Arts,IN B A qualification,1,False
